char_id,name,franchise,infobox_fields,death_sentences,text_excerpt
9e1afd282c4e,Mariano,Indiana Jones,gender: Male | birth: 1851 Colombia,,"Mariano was a seventy-eight old coffee farmer who lived near on a mountain near San Andrés de Pisimbala, Colombia. He lived with his wife and some dogs. Biography In September 1929, he received two visitors, Indiana Jones and Salandra. He and his wife gave them a meal, and directed them to Popayan. A few days later, he drove his horse-cart to Popayan, and found the two still on the road. Giving them a ride, he shared that he had once seen ghosts, one of was interpreted by Jones as a person dying from the lack of nalca.Indiana Jones and the Interior World Appearances Indiana Jones and the Interior World Notes and references Category:Characters alive when last seen Category:Characters appearing in novels Category:Colombians Category:Ranchers & Farmers"
0cc576e20826,Daario Naharis,Game of Thrones,"Birth: In Tyrosh | Appearances: 21 episodes | First: ""Second Sons"" | Last: ""The Winds of Winter"" | Actor: Ed Skrein Michiel Huisman","Daario rose to fame within the fighting pits earning his master so much money that at the time of his master's death Daario was rewarded with freedom. Daario has an unusual code for a sellsword; he won't sleep with prostitutes and only kills soldiers who are trying to kill him, not bystanders. Daario has over several different occasions proven his skills in combat: when he reveals to Daenerys that he single-handedly managed to kill both of the commanding officers of the Second Sons, when he along Ser Jorah and Grey Worm fight severely outnumbered against several guards in the streets of Yunkai, when he kills the Champion of Meereen in single combat with ease or when protecting Daenerys, Tyrion, and Missandei from hundreds of Sons of the Harpy along with Ser Jorah, coming out on top, unharm","Daario Naharis was originally a lieutenant in the Second Sons, a sellsword company, before taking over the company and killing his superiors, Mero and Prendahl na Ghezn. He then aligns with Daenerys Targaryen, serving as her advisor and enforcer, eventually becoming her lover. Following their victory in Slaver's Bay, he is forced to part ways with Daenerys when she sails for Westeros, remaining in Meereen to enforce the Queen's peace. Biography Background Daario is a Tyroshi sellsword, employed as a lieutenant in the Second Sons. He is apparently held in high enough regard by the company's co-captains, Mero and Prendahl na Ghezn, that they allow him to join them in contract negotiations and discussions of the company's future. According to Daario, his mother was a prostitute, and he comes from low beginnings. At the age of 12, Daario was sold by his mother to a slave master from Tolos due to her declining income, alcoholism and his aggressive, unruly behavior and tendency to get into"
c4dd7e896e0b,Quartermaster (Flying Dutchman),Pirates of the Caribbean,gender: Male | first: ''At World's End'' (video game),,"This man was a crew member serving aboard the Flying Dutchman under the command of Captain Davy Jones. Biography Although his nickname was ""Quartermaster"", he was rarely seen on deck, making it unlikely that he was actually the ship's quartermaster. Quartermaster had teal skin covered with barnacles. His stomach had a hole that revealed a part of his backbone. Like his fellow crewman William ""Bootstrap Bill"" Turner, Quartermaster had a large starfish on his head, although Quartermaster's covered the right side of his face.Pirates of the Caribbean: At World's End (video game) His final fate is unknown. Appearances Pirates of the Caribbean: At World's End (video game) (PS2, Wii, PC, PSP version) Sources Pirates of the Caribbean: At World's End (video game): Official Strategy Guide Notes and references de:Quartiermeister (Flying Dutchman) it:Quartiermastro dell'Olandese Volante ru:Квартирмейстер «Летучего Голландца» Category:Davy Jones' crew Category:Flying Dutchman crew Category:"
34db2f012009,Arn Mikals,Dune,,"He told Pal that he would return shortly, though he never did, presumably being imprisoned or killed for his defiance.Dune: Awakening

Awakening
The Prisoner entered the lab and discovered Pal, as well as Mikals' last recording before his departure.","Arn Mikals was the creator of the Paladin 9200 Combat Training Program. Biography Background Arn Mikals was assigned a lab in Testing Station No. 163 where he created the Paladin 9200 Combat Training Program. He grew found of the thinking machine, which he called ""Pal"", and regarded it as his best friend. Mikals was later informed that the project had been shut down and ordered to destroy the Paladin system. He refused to do it and dismissed his staff and was determined to convince the comittee to change their minds. He told Pal that he would return shortly, though he never did, presumably being imprisoned or killed for his defiance.Dune: Awakening Awakening The Prisoner entered the lab and discovered Pal, as well as Mikals' last recording before his departure. From the recording, they learned the passcode they could use to access the Paladin system. Once they did, Pal mistook them for Mikals and was overjoyed at their reunion. Appearances Dune: Awakening (voice only) References C"
36500d5d67f2,Edgar John Brandon,The Twilight Saga,species: Human | gender: Male,"In Alice's late teenage years, Edgar had his wife murdered to marry a blonde Yankee from Illinois, Anna-Marie. On the day of his wedding, Alice suspected Anna-Marie was already planning the wedding before Lillian was killed and asked her father. Mentioned in
New Moon
The Mary Alice Brandon File (flashback)

References

Category:Mentioned characters
Category:Deceased characters
Category:Humans","Edgar John Brandon is the husband of Lillian Brandon, and later Anna-Marie Brandon, and the father of Cynthia Brandon and Alice Cullen. He was a jeweler and a pearl trader. He is portrayed by John Emmet Tracy in The Mary Alice Brandon File. Biography The Mary Alice Brandon File thumb|left|200px|Edgar's wedding. Edgar was married to Lillian Brandon and they had two children: Mary Alice Brandon and Cynthia Brandon. They lived in Biloxi, Mississippi. Alice was born with the gift of subjective precognition, but Edgar was never fond of her gift, unlike his wife. In Alice's late teenage years, Edgar had his wife murdered to marry a blonde Yankee from Illinois, Anna-Marie. On the day of his wedding, Alice suspected Anna-Marie was already planning the wedding before Lillian was killed and asked her father. This instantly triggered a vision where she saw her father pay her mother's murderer to kill her, and she realized the truth. Knowing he could kill her, he had her committed to a mental "
023a602fad95,Halvard,Lord of the Rings,actor: Leo Woodall,,"Halvard is a Dúnedain Man set to be portrayed by Leo Woodall in , presumably as one of the Rangers of the North who accompanied Aragorn in protecting the lands of what had become the Lost Realm of Arnor. Etymology Most Dúnedain in Middle-earth have Sindarin names, but halvard does not seem to be fully Sindarin. Usually hal means ""to lift"" in Sindarin.Parf Edhellen - hal Quenya has vard meaning ""rule, govern"",Parf Edhellen - vard- but not Sindarin, and only in older sources. Also vard- tends to begin words, not end them. It is possible that vard is a shortened version of Varda the Valar which is a Quenya name, but Sindarin calls her Elbereth. References Category:Characters in The Hunt for Gollum Category:Non-canonical Dúnedain"
c231fed03eb3,Czic,Star Wars,species: Drach'nam | gender: Male,,"Czic was one of Chay Praysh's numerous Drach'nam bodyguards. He, along with Brok, was sprayed in the face with a flammable mix of chemicals by Mara Jade, during her mission to rescue Sansia Bardrin from slavery. Appearances Category:Bodyguards Category:Drach'nam Category:Enslavers Category:Males"
2dd7d798b275,Hugh Biggs,Harry Potter,born: Between 1697 and 1701 | species: Human | gender: Male,,Hugh Biggs (b. 1690s/1700s) was a Gryffindor student at Hogwarts School of Witchcraft and Wizardry in the 1710s. He was once Captain of the Gryffindor Quidditch team from 1712 to 1716. Appearances Notes and references fr:Hugh Biggs pl:Hugh Biggs Category:British or Irish individuals Category:Gryffindors Category:Hogwarts Quidditch Captains Category:Males Category:Sorted in the 18th century Category:Wizards
70166066e536,Musgrove,Indiana Jones,gender: Male | birth: c. early 1870s-early 1890s,"Unfortunately, Brooksbank was believed killed when Nazi agents sabotaged his car, despite Nichols' protection. Brooksbank, before his death, recorded a film instructing his friend Indiana Jones to find the new location of the Hall of Records.Indiana Jones and the Pyramid of the Sorcerer

Musgrove tracked Jones to Peru, but was unable to find his site. Though Jones distrusted him, Musgrove eventually convinced the archaeologist to help him by mentioning Brooksbank's recent death.","Colonel Musgrove was a United States Army officer and intelligence agent for the United States of America federal government. Biography Early life and career Musgrove was born between the early 1870s and the early 1890s. Musgrove's career within the United States Army began prior to World War I. He then went on to serve as a low-level adminstrative aide on the staff of General John J. Pershing during the conflict itself, analyzing aerial reconnaissance photographs of the Allied and German forces on Belgium and France's front lines. When the war was over, Musgrove headed the photo reconnaissance division of United States Army Intelligence. Working with Eaton Eventually, before his transfer to the European special operations division, Musgrove found himself partnered with Major Eaton to follow up Adolf Hitler's international activities, including the Führer's interest in artifacts with supposed supernatural properties. Both men weren't popular among their departments, being assi"
0eb64b892297,Lymond Hightower,Game of Thrones,"Birth: At the Hightower, in Oldtown","In the books
The World of Ice & Fire specifies that Lymond Hightower was known as the Sea Lion and fought and killed King Theon III Greyjoy after ceasing to pay tribute to the ironborn king.","Lymond Hightower was a king during the Age of Heroes. Biography When the kings of House Gardener conquered the Reach, Lymond decided to marry into their family rather than fight them. By marrying a daughter of House Gardener, Lymond was able to transform the Hightowers from wealthy but relatively minor kings into the greatest lords of the Reach. Since then, House Gardener, and later on House Tyrell, has always defended Oldtown, allowing the Hightowers to focus on learning and trade. In the books The World of Ice & Fire specifies that Lymond Hightower was known as the Sea Lion and fought and killed King Theon III Greyjoy after ceasing to pay tribute to the ironborn king. He brought back the First Men tradition of thralldom long enough to make the captured ironborn work on strengthening the walls of Oldtown. Appearances References External links Category:First Men Category:Individuals from Histories & Lore Category:Kings Lymond Hightower Lymond Hightower Category:Men of the Rea"
a32658afaed0,Clement Aurentius,Pirates of the Caribbean,gender: Male | first: ''Pirates of the Caribbean'' (game),,"Clement Aurentius was a scientist and researcher who lived in a lighthouse on Oxbay island in the South Archipelago in the Caribbean sea in the 1630s. He took part in a voyage for treasure in the island of Khael Roa with the captains Nathaniel Hawk and Danielle Greene. Biography Clement was an elderly researcher and chemist who lived near Greenford colony on Oxbay in a lighthouse. One time, he was accused of sorcery when an experiment he was conducting resulted in a huge cloud of smoke which hovered over Greenford town. The man was tied to a stake to be burned by locals. But before they could do so, a woman whose child he once rescued using one of his potions implored Captain Nathaniel Hawk, who at that time had been in the town, to help free Clement, which he did by bribing off the executioners. Thanking Nathaniel for saving his life, he invited the Captain to his lighthouse where he met with his partner Captain Danielle Greene and a man named Vincent Bethune. The three were in se"
