char_id,name,franchise,infobox_fields,death_sentences,text_excerpt
a3033c63161d,Ingwion,Lord of the Rings,birth: Before the Great Journey | death: Immortal | gender: Male,,"Ingwion was a Vanyarin Elf, the son of Ilwen and Ingwë, High King of the Elves. Biography Ingwion was born in Cuiviénen to Ingwë and Ilwen during the Years of the Trees. He had one younger sibling and was a cousin of Indis. After the Great Journey, when he and his kindred came to Aman, they first dwelt in Tirion, but soon came to love the full light of the Two Trees, and relocated to Valinor at the base of Taniquetil. Ingwion likely dwelt there for many years with his family. In the year 545 of the late First Age, Ingwion was the leader of the Vanyar who came with the Host of the Valar to Middle-earth to fight in the climatic War of Wrath., Vol. V: The Lost Road and Other Writings, ""Part Two: Valinor and Middle-earth before The Lord of the Rings, VI. Quenta Silmarillion"", pg. 326 During the war, Ingwion was the leader of a force of Vanyar Elves tasked with retaking Eglarest. They were successful in driving the Orcs away from the shores during the battle., Vol. V: The Lost Road and O"
2a9cc7586728,Raoul Rheims,Pirates of the Caribbean,"gender: Male | died: 1630s, Douwesen | first: ''Pirates of the Caribbean'' (game) | last: ''Pirates of the Caribbean'' (game)","He died shortly afterwards. Rheims was subsequently ambushed in his house by Vincent, who Danielle killed in retaliation.","Raoul Rheims was a captain and agent of Redmond governor Sir Robert Christopher Silehard in the South Caribbean archipelago in the 1630s. He was assigned on a covert mission to search for lost Incan treasures in Khael Roa. Biography Rheims was under orders by Sir Robert Silehard to investigate legendary treasure in the isle of Khael Roa. Though he was partially successful in the quest, a storm ravaged his ship and he was unable to uncover the complete legend. Brendan Applin, one of his crewmen stricken with swamp fever, fled to Redmond with the help of captain Danielle Greene to tell the governor of the discovery and that Rheims had stopped by Quebradas Costillas to resupply. He died shortly afterwards. Silehard decided that the discovery should be kept secret, so he ordered Rheims' assassination. Rheims narrowly escaped an attempt on his life and fled to the Conceicao smugglers' colony for refuge. The English captain Nathaniel Hawk was tasked to find and arrest Rheims, but arrived t"
31b438130d44,Raquella Berto-Anirul,Dune,birth: 135 BG | death: 3 BG | last: ''Mentats of Dune''(2014),"Biography
In her late teens, Raquella married a jihadi soldier who died in the war soon after. It was Raquella that, while thinking about recently deceased Dr. Reverend Mother Superior
After Ticia Cenva's death, Raquella took control of the Sorceresses and began reforming them and their breeding program into what would become the Bene Gesserit order.","For the adaption equivalent, see Raquella Berto-Anirul/2021 film Raquella Berto-Anirul (135 BG - 3 BG) was the first Reverend Mother, and the founder and first Mother Superior of the Bene Gesserit Order, as the Sisterhood of Rossak. Raquella was the daughter of Helmina Berto-Anirul, illegitimate daughter of Vorian Atreides and Karida Julan. In her youth, Raquella had a blond complexion, with blue eyes, and an upright nose. Biography In her late teens, Raquella married a jihadi soldier who died in the war soon after. Raquella became a doctor and dedicated herself to helping the war-injured and those suffering from the deadly diseases that still afflicted humanity. She was living on Parmentier with Dr. Mohandas Suk. During the Omnius Scourge she worked in the Hospital for Incurable Diseases with Suk. It was then when Vorian Atreides visited the planet and met with her. It was Raquella that, while thinking about recently deceased Dr. Hundri Arbar, noticed the effects of spice on the di"
67e622f1c280,John,The Twilight Saga,"species: Human | born: Atlanta, Georgia | died: Late April, 1933 (killed by Rosalie Hale) | gender: Male","Though she killed them all, she made sure not to spill any of their blood - the idea of having any part of them inside her repulsed her. Mentioned in
Eclipse
Eclipse film (flashback)

Category:Mentioned characters
Category:Deceased characters
Category:Humans","This article is about Royce King II's friend. For the mechanic, see John Dowling. John was one of Rosalie Hale's murderers in 1933. He and Rosalie's fiancé, Royce King, brutally abused her, which drove her on a streak of vengeance when she became a vampire. He is portrayed by Ben Geldreich in the movie adaptation of Eclipse. Biography thumb|left|200px|John and his friends watch as Royce assaults Rosalie. John was a friend of Royce King's from Atlanta, Georgia, and shared his malicious traits. In April, 1933, John, along with Royce and the rest of their friends, got severely drunk when they came across Royce's fiancée, Rosalie Hale, and brutally assaulted her. All of them laughed as they left Rosalie on the street to die, only for her to be discovered and 'saved' by Carlisle Cullen, a vampire. After Rosalie became a vampire, she hunted down her murderers one by one, John being 3rd, saving Royce for last. Though she killed them all, she made sure not to spill any of their blood - the "
1c289d39bdd4,Sanga's companion,Star Wars,"death: 34 ABY, Naboo | species: Human","While visiting the Varykino Villa on the planet alongside Sanga, they and Sanga were killed not long after encountering Kylo Ren who Force-choked them to death.","The companion of the human individual Sanga resided on the planet Naboo in 34 ABY. While visiting the Varykino Villa on the planet alongside Sanga, they and Sanga were killed not long after encountering Kylo Ren who Force-choked them to death. Behind the scenes The individual first appeared in the fourth issue of the canon comic book series Star Wars: Legacy of Vader, which was written by Charles Soule, illustrated by Stefano Raffaele, and published by Marvel Comics on May 21, 2025. Appearances Legacy of Vader 4 Notes and references Category:Humans Category:Individuals of unspecified gender Category:Individuals with unspecified pronouns"
f2c3b325a297,Octavius Pepper,Harry Potter,"died: Spring, 1997 (possibly) | species: Human | gender: Male",His disappearance was believed to be connected to the Death Eaters.,"Octavius Pepper was a wizard who was reported to have disappeared in the early spring of 1997 by the Daily Prophet. His disappearance was believed to be connected to the Death Eaters. Etymology The name ""Octavius"" is a Roman family name meaning ""eighth"" from Latin octavus. This was the original family name of the emperor Augustus (born Gaius Octavius). Appearances Notes and references de:Octavius Pepper es:Octavius Pepper fr:Octavius Pepper pl:Oktawiusz Pepper ru:Октавий Перчик Category:British individuals Category:Males Category:Missing individuals Category:Wizards"
a4deede79d1b,Staff Car Officer,Indiana Jones,gender: Male | death: 1944French Alps,"As a result of this, despite his best attempts to control the vehicle from the rear seats, it collided and flipped due to the jagged mountain side intruding on the road, rupturing its fuel tank and causing an explosion which in turn killed the two remaining occupants, both officers. Appearances 
Indiana Jones and the Dial of Destiny

 Notes and references 

Category:Characters appearing in Indiana Jones and the Dial of Destiny
Category:Deceased
Category:Generals
Category:Nazi military personnel
Category:Nazis
Category:Schutzstaffel","A German Officer was one of the two high-ranking Schutzstaffel (SS) members of an escort which took place in 1944, Western France. Biography After the looting of the Nazi Stronghold, a convoy was prepared for the German Gestapo Officer and his contemporary. Unaware that the Staff Car had been hijacked of its original driver and had been replaced by American spy and archaeologist Indiana Jones, the convoy proceeded. A mile or so from the burning castle the first sign of an issue arouse as the Staff Car veered away from the two escorting Motorbike & Sidecars down the N83, a completely different road as to which the convoys route was planned on. Immediately the Officer began shouting at the presumed Staff Car Driver, now revealed to be Jones, an intruder who escaped a lynching attempt from his soldiers. left|thumb|220px|The Officer attempts to control the vehicle. The two escorting Motorbike & Sidecars soon caught up but one was equally dispatched in the same amount of time by the A"
a339bd040c27,Barristan Selmy,Game of Thrones,"Birth: Harvest Hall, the Stormlands | Death: 302 ACMeereen | Appearances: 25 episodes | First: ""Lord Snow"" | Last: ""Kill the Boy"" | DeathEp: ""Sons of the Harpy"" | Actor: Ian McElhinney","These events set up a rebellion led by Robert Baratheon, in which Barristan never wavered in his loyalty to House Targaryen, in accordance with the vows he swore when he joined the Kingsguard; he fought alongside Rhaegar's army at the Battle of the Trident, where Rhaegar was killed and Selmy was wounded. Upon assuming the throne, in spite of Roose Bolton's advice to execute Selmy, Robert pardoned him and made him Lord Commander of the Kingsguard.HBO viewers guide, season 2 guide to houses, House Baratheon of King's Landing - Barristan Selmy entry

Game of Thrones: Season 1
thumb|Jaime and Barristan discuss their first kills. Barristan killed him with a lance to the heart.","Ser Barristan Selmy was a knight who served in the Kingsguard with distinction for over forty years. Nicknamed Barristan the Bold, he was considered by many to be one of the best swordsmen and most honorable men in all the Seven Kingdoms. He served in the Kingsguard of King Aerys II Targaryen, and later served as Lord Commander of the Kingsguard during the reigns of King Robert I Baratheon, and, for a short time, King Joffrey I Baratheon. After his public dismissal by Joffrey (an affront, as the Kingsguard is an irrevocable lifetime appointment), Ser Barristan, free of any vows, chose to sail to Essos and serve Daenerys Targaryen. Biography Background Barristan Selmy was the Lord Commander of the Kingsguard, the elite bodyguard of the King of the Andals and the First Men. Barristan is a member of House Selmy, a minor house of the Stormlands, that serves House Baratheon of Storm's End. He is the firstborn son of Ser Lyonel Selmy of Harvest Hall. He is noted as an extremely capable war"
5394043e3a68,Arminas,Lord of the Rings,birth: Unknown | death: Unknown | gender: Male,,"Arminas was a Ñoldorin Elf of the First Age. He was of Angrod's kin from the House of Finarfin. Biography For many years after the Nírnaeth Arnoediad, Arminas wandered with his companion Gelmir and sought Turgon and the kingdom of Gondolin unsuccessfully. Afterward, they lived with Círdan at the Havens of Sirion and were sent by him on an errand to Nargothrond bearing a warning from Ulmo of the impending doom of the hidden realm. Before arriving there, they encountered Tuor at the Gate of the Noldor as he was about to leave Hithlum. When they arrived in Nargothrond, Arminas and Gelmir counseled Orodreth to shut the doors of his realm and remain a hidden folk. Arminas was mistrusted by Túrin, and the two argued over opposing views. Despite their warnings, Orodreth, under the influence of Túrin, did not listen to their advice. Arminas and Gelmir eventually departed south and reported what they were told to Círdan.Unfinished Tales, Part One: The First Age, I: ""Of Tuor and his Comi"
b12ce82f0c51,Cutler Beckett,Pirates of the Caribbean,"gender: Male | born: c. 1680s, Somersetshire, England | died: August 1729, HMS ''Endeavour'', Caribbean Sea | first: ''Dead Man's Chest'' | last: ''At World's End''","Following a titanic battle between the Black Pearl and the Flying Dutchman, which saw the death of Davy Jones and Will Turner becoming the new captain of the Dutchman, both ships attacked the Endeavour, resulting in Beckett's death and the downfall of the East India Trading Company in the Caribbean. When he came to Calabar, Beckett immediately hired Ian Mercer, a professional spy and a killer for hire, to replace Gates who was killed on a mission in Nippon. Immediately after he arrived at his new post, Beckett received a letter from his cousin Susan in which she informed him that his sister had died from a fever.","Cutler Beckett was a loyal subject of the British Empire as well as a senior officer of the East India Trading Company. Ambitious, cold-blooded and utterly ruthless in his pursuit of power, Beckett was a man with a mission and would do whatever he thought was necessary to achieve his goal. As an executive and supreme head of the East India Company, the power-mad English aristocrat made it his duty to fill in the blank areas on the map of the world. To further his achievements, Beckett aimed to eliminate pirates from the Seven Seas. Born and raised in a prosperous merchant family in England, Cutler Beckett joined the East India Company after a fight with his father. For many years he faithfully served the Company, amassing political power, eventually becoming the Director of West African Imports and Exports for the Company. From his post in Calabar, the Director of West African Affairs organized a search for the mythical island of Kerma, hoping to find its legendary treasure. However, "
