char_id,name,franchise,infobox_fields,death_sentences,text_excerpt
0ae6ba24ecb1,Kirke Tanner,Alien vs Predator,species: Human | gender: Female,,"Kirke Tanner was a miner and a Firstborn member of the –worshiping cult known as the Children of the Two Divines. As of 2184, Tanner was working at the Sonderdatch Mine on the Grandhi Moon. Appearances Category:Colonial Marines Operations Manual characters Category:Humans Category:Miners Category:Xenomorph cultists"
c81c04002275,Nguyen,Lost,,,"Nguyen is a surname that appeared on the lighthouse dial, and may be one of Jacob's candidates. His or her ""number"" is 19. Trivia Hồ Chí Minh was born Nguyen and used various names throughout his life. ru:Нджуен Category:Jacob's candidates Category:Season 6 characters Category:Unseen Candidates"
d24c254c5bc4,Arthur Lasch,Boardwalk Empire,Actor: David L. Townsend,,"Arthur Lasch, played by co-star David L. Townsend, is a supporting character in ""Two Boats and a Lifeguard"". He is friends with Louise and meets Angela Darmody when Louise brings her to a party. He works as a dancer. Appearances Category:Season 2 Category:Atlantic City Category:Performers"
d31a9a1cd171,Torret,The Wire,"actor: Derren M. Fuentes | seasons: 1, 2, 3","Season 2
He appeared leading the raid on the Franklin Terrace towers when a nine year old child was accidentally shot and killed by a stray round in a shootout between drug dealers. He was present with Rawls finding the body of drug addict Johnny Weeks who was then taken to the morgue in a squad car as a means of preventing the media from linking the death to the ""Hamsterdam"" experiment.","Lieutenant Torret is the commander of the Quick Response Team in the Tactical Division of the BPD. Biography Season 1 He first appeared in Season 1 leading the search for Savino Bratton and then commanding the unit to surround Avon Barksdale's strip club during his arrest. Season 2 He appeared leading the raid on the Franklin Terrace towers when a nine year old child was accidentally shot and killed by a stray round in a shootout between drug dealers. In that raid he had the unit arrest everyone in ""The Pit"" as he assumed them a suspect for being around that area. Season 3 In Season 3, he appeared at the rank of Major commanding QRT and Tactical units city wide no longer actively participating in the raids. He helped plan and lead the raid to shut down ""Hamsterdam"" at the orders of Deputy Rawls. He was present with Rawls finding the body of drug addict Johnny Weeks who was then taken to the morgue in a squad car as a means of preventing the media from linking the death to the ""Hams"
ca7f53769232,Headpool,Marvel Cinematic Universe,species: Zombified Mutant | gender: Male | actor: Geoff Redknap (puppeteer) | status: Zombified,,"Wade Winston Wilson is a zombified mutant mercenary dubbed Deadpool who only consists of a flying head, giving him the fitting name of Headpool. A member of the Deadpool Corps, Headpool was tasked to stop Deadpool and Wolverine from reaching his boss, Cassandra Nova. However, they ceased fighting once Peter Wisdom interfered. Biography Pruned Wade Wilson was a zombified mercenary who went by the name Deadpool and became friends with Peter Wisdom. The Time Variance Authority deemed Deadpool a threat to the Multiverse and sent him to the Void, where he met other Deadpool Variants who formed the Deadpool Corps. Attack on Earth-10005 |Headpool arrives in Earth-10005 Headpool and the rest of the Deadpool Corps were sent to Earth-10005 by Cassandra Nova to prevent Deadpool and Wolverine from reaching her and the Time Ripper, so she could use it to destroy the Multiverse. Shortly after the arrival of Dogpool and her owner, Nicepool, the rest of the Corps arrived via an Inter-Dimensional P"
bf541f445ad0,Barman,Prison Break,played by: Hector Atreyu Ruiz,,"A Barman served Howard Scuderi and Sara Tancredi some drinks. Whilst Sara was flirting with Howard in order to obatain the Scylla card, the Barman said that Howard wasn't interested in her, so he offered her up on a drink. He served on a bar in a hotel in Las Vegas. Biography Season 4 This Barman gave Sara and Howard something to drink. When Sara was flirting with Howard, it failed. The barman revealed that he ""liked men"". Later, this barman was seen in the background and could have been seen laughing when Sucre was sitting next to Scuderi. Appearances Five the Hard Way Trivia He is credited at serienguide.org as Bartenderserienguide.org. Notes and references Category:Living characters Category:Prison Break characters Category:Season 4 characters Category:Characters"
794398add225,Dr. Derange,James Bond 007,portrayed: Julian Holloway,,"Dr. Derange is a fictional insane scientist who first appeared in the 1991 animated television series James Bond Jr. and the accompanying 1992 Marvel comic-book series of the same name. He is one of the series' primary antagonists and is often paired alongside fellow S.C.U.M. member Skullcap. Character biography An evil scientist with long black hair, Dr. Derange speaks with a French accent and has an insane passion for all kinds of radioactive materials, mainly plutonium. According to the novelization, ""The Eiffel Target"", Derange is part man and part machine. He is by far the most frequently appearing villain in the series, appearing in at least sixteen episodes. He is also featured in most of the spin-off material. Appearances The Eiffel Missile A Race Against Disaster The Inhuman Race It's All in the Timing Fountain of Terror Deadly Recall Red Star One Invaders from S.C.U.M. A Deranged Mind The Last of the Tooboos The Emerald Key Canine Caper Weather or Not Between a Rock and a H"
097bb2393921,Bob TFP,Transformers,species: Human | gender: Male | first: Adventures in Bumblebee-Sitting!,,"Bob is a security guard. Transformers: Robots in Disguise Bob was guarding a carnival near Crown City when he heard the elephants getting upset. He was on the radio to someone when he found that the elephant pen had been broken into, however he didn't get much further as the beasts stampeded thanks to some encouragement from Quillfire, and Bob was forced to dive out of the way. Category:Humans Category:Transformers Robots in Disguise 2015 Character Category:Transformers Robots in Disguise 2015 Category:Minor Characters Category:Minor Characters Category:Males Category:Robots in Disguise Humans"
33bd4c4149ed,Zamhil,Avatar,species: Na'vi | gender: Female | first: ''Avatar: Frontiers of Pandora'' | portrayed: Bridget Ogundipe,,"Zamhil is a Na'vi of the Kame'tire clan in Avatar: Frontiers of Pandora. Background Zamhil is a devoted hunter, but these days she spends much of her time as Anufi's caretaker. Over time, Zamhil has come to understand Anufi and her needs, becoming protective of her when visitors arrive. Zamhil is friends with Heykinak, and Zamhil encourages her to plan more and take fewer risks. Avatar: Frontiers of Pandora Quests Homecoming: Speaking to Zamhil begins this quest. The player must find Keylu, Reyzu/Setral, Uwol, and a storyteller. These quests include Stories Old and New, The Gentle Giant, Uwol's Shadow and Flavor of the Past. Gallery pl:Zamhil ru:Замхил Category:Avatar: Frontiers of Pandora Characters Category:Na'vi Category:Kame'tire Members"
826c5813001e,FBI Agent,Sons of Anarchy,appearances: 1 episode (see below) | portrayed by: Jim Dowd,,"FBI Agent is an agent working for the Federal Bureau of Investigation on the FX original series Sons of Anarchy. Played by American actor Jim Dowd, FBI Agent appears only on the episode in the series' second season. Biography Background Season 2 Appearances Category:Characters Category:Law Enforcement Category:One-shot characters Category:Season 2 Characters Category:Alive"
