char_id,name,franchise,infobox_fields,death_sentences,text_excerpt
bd2de0f8c192,Daylor,Prison Break,played by: [http://www.youtube.com/watch?v=oYYl7hpO6go Unknown voice actor] (English) [http://www.youtube.com/watch?v=hPv0bxYmTO8 Unknown voice actor 1] (Deutch) [http://www.youtube.com/watch?v=2HJ5fPy_I_E Unknown voice actor 2] (Deutch) [http://www.youtube.com/watch?v=CFJDuEu9CHk Unknown voice actor] (French),,"Daylor worked at Fox River, at the time Tom Paxton was imprisonent. Biography Prison Break - The Conspiracy Daylor appeared at the beginning of the game, where he saw Tom Paxton for the first time. Daylor appeared in the infirmary right before Tom Paxton leaves. Daylor appeared also when Paxton was leaving the infirmary. Daylor appeared later when Brad Bellick send Tom Paxton to the yard, where he talked to John Abruzzi. When Tom was walking to him, he opened a door and Tom fought to 2 T-Bag's gang members who wanted to avenge their fallen friend Johnny. Daylor also appeared when somebody cut his troat and brought him to the helicopter. Daylor was later seen when Paxton came back when he did steal the blueprints from Fox River and Daylor was searching for him in the dark. Daylor also was seen when Tom Paxton was sneaking around and turned out the light. Daylor was very angry because of this and searched for Tom Paxton. He appeared in the background when John Abruzzi came back and was "
65e2d82999cf,Jerry Curtin,Prison Break,,"Family
Danielle Curtin - Daughter

Biography
Background
His Father Was a Vietnam War Veteran who died when Curtin was young, Resulting in Curtin showing much compassion and respect to war veterans. Appearances
Season 2
First Down 

Expanded universe
Prison Break - The Classified FBI Files 

Trivia
Many Prison Break fans that he was murdered, but for fact that Alexander Mahone later revealed at the Hoover Building that he was assaulted.","Jerry Curtin is a man who has a daughter. He befriended Theodore Bagwell fast, but was actaully brutally assaulted by him soon after. Family Danielle Curtin - Daughter Biography Background His Father Was a Vietnam War Veteran who died when Curtin was young, Resulting in Curtin showing much compassion and respect to war veterans. Season 2 When Jerry Curtin was at the petrol station with his teenage daughter, he witnessed T-Bag lie to some policemen about how he lost his hand. T-Bag told the police officers that he lost it in Iraq while on his second tour. Later that day he and his daughter saw him walking in the streets, Curtin stopped the car and explained to T-Bag (Jerry was thinking that he was an Iraqi War veteran) that he is very thankfull for his work. He then let him come along with them in his car. After several hours they stopped by at a motel. While Curtin was in his room T-Bag was sitting near the pool ""flirting"" with his teenage daughter. She then ran inside and told her "
8fe140d3c79c,Lincoln Burrows (The Conspiracy),Prison Break,played by: Dominic Purcell (English) Viktor Neumann (Deutch) Eric Aubrahn (French) [http://www.youtube.com/watch?v=a_yIAON13_E&feature=related Unknown voice actor] (Slovak),"After their mother's death, Lincoln became Michael's guardian. There really was no life insurance and this money was the start of the events which ultimately led to Lincoln being sentenced to death. Prison Break - The Conspiracy
Lincoln Burrows has been arrested and convicted for the murder of Terrence Steadman, a murder that he hadn't done, the brother of the VPOTUS and a notorious lobbyst in Chicago, Lincoln was soon sentenced to death by electric chair and sent in Fox River State Penitentiary.","You may be looking for his counterpart in the show. Lincoln Burrows is a character who appeared in Prison Break - The Conspiracy (Game). Family Aldo Burrows - Father Christina Scofield - Mother Lisa Rix - Ex-wife L. J. Burrows - Son Michael Scofield - Brother Nika Volek - Sister-in-law Biography Background Lincoln Burrows was born on 17 March 1970. After their mother's death, Lincoln became Michael's guardian. Lincoln dropped out of Morgan Park High School during his sophomore year and began his life of crime. Prior to being convicted for the murder of the Terrence Steadman, he had been convicted of theft, criminal damage to property, possession of drug paraphernalia, and battery. He and Lisa Rix had a son together, Lincoln Burrows, Jr. (L.J.). When Michael was 18, Lincoln borrowed $90,000 to pay for Michael's university education, telling him that it was his half of his mother's life insurance. There really was no life insurance and this money was the start of the events which ult"
b687a4bcd1d0,Michael Scofield (The Conspiracy),Prison Break,played by: Wentworth Miller (English) [http://www.youtube.com/watch?v=Oi-oioqEZxw&feature=related Unknown voice actor] (Deutch) [http://www.youtube.com/watch?v=a_yIAON13_E&feature=related Unknown voice actor] (Slovak),"(1x4) When Michael was 11 and Lincoln was 15, their mother (then age 31) supposedly died of a brain aneurysm brought on by a brain tumor (she is later found to be alive), though it was initially thought to be liver cancer. (1x5, 1x16)

Following the death of his mother, he and Lincoln moved in with the family of Lincoln's friend, Veronica Donovan. Six months into Michael's stay, his foster father was found dead in his home, a victim of a violent attack: killed by Aldo, where he rescued Michael.","You may be looking for his counterpart in the show Michael Scofield is a character who appeared in Prison Break - The Conspiracy (Game). He escaped with the other members of the Fox River Seven from Fox River. Family Father - Aldo Burrows Mother - Christina Scofield Brother - Lincoln Burrows Ex-sister-in-law - Lisa Rix Nephew - L. J. Burrows Biography Background Michael was born on July 2, 1972. After his father, Aldo Burrows, deserted the family before his birth, Michael took up his mother's maiden name as his own surname in order to start a new life because she told him that his father was an alcoholic and drug user (which was later proved untrue). (1x4) When Michael was 11 and Lincoln was 15, their mother (then age 31) supposedly died of a brain aneurysm brought on by a brain tumor (she is later found to be alive), though it was initially thought to be liver cancer. Lincoln, his older brother, became his guardian and tried his best to take care of him. Having lost both their paren"
82885c1147d7,Fernando Sucre (The Conspiracy),Prison Break,played by: Amaury Nolasco (English),,"You may be looking for his counterpart in the show. Fernando Sucre is a character who appears in Prison Break - The Conspiracy (Game). He escaped with the other members of the Fox River Seven from Fox River. Biography Background Of Puerto Rican descent, Fernando grew up in Chicago where he had several run-ins with the law. His mother sent him to live with a relative in New York City to help him out. There, he found a steady job at a warehouse and his girlfriend, Maricruz Delgado. He was sent into Fox River for robbing a liquor store. (1x1) The reason Fernando had held up a liquor store was to get enough money to pay for an engagement ring for Maricruz. His cousin Hector then tips him off to the cops, as he was also infatuated with Maricruz. (1x16) Prison Break - The Conspiracy Sucre was seen with Michael in Cell 40. Later Sucre was seen calling someone by Tom Paxton. Sucre was seen by Tom Paxton talking to Michael Scofield. Sucre was later brought by Brad Bellick to Tom Paxton's cel"
3eb496d5ac86,Benjamin Miles Franklin (The Conspiracy),Prison Break,played by: Rockmond Dunbar (English) [http://www.youtube.com/watch?v=egPXCZomKTI&feature=related Unknown voice actor] (Deutch),,"Benjamin Miles Franklin is a character who appears in Prison Break - The Conspiracy (Game). He escaped with the other members of the Fox River Seven from Fox River. Family Kacee Franklin - Wife Dede Franklin - Daughter Darius Morgan - Brother-in-law Trey Morgan - Brother-in-law Biography Background Benjamin Miles Franklin was born on 11 February 1973. He was a Sergeant in the U.S. Army, stationed in Kuwait. While serving as a guard for a detention facility, he discovered illegal torture of several detainees and reported this to his commander. C-Note's commander dishonourably discharged him for his involvement in black market activities after C-Note refused to agree to keep quiet about the incident. With the shame of dishonorable discharge hanging over him, C-Note was unable to find other work to pay the rent for his wife Kacee and daughter Dede, and resorted to criminal means. His brother-in-law, Darius Morgan was a truck driver and suggested that he could help transport stolen goods"
b6adf0423c29,Aldo Burrows (The Conspiracy),Prison Break,played by: [http://www.youtube.com/watch?v=Cp9wxoyhSrU&feature=PlayList&p=9A3E4393E94F0726&playnext_from=PL&playnext=1&index=6 Unknown voice actor] (English),,"You may be looking for his counterpart in the show. Aldo Burrows is a character who appears in Prison Break - The Conspiracy (Game). He's the father of Michael and Lincoln. The Company was trying to get him out of hiding. Family Christina Scofield - Ex-wife Michael Scofield - Son Lincoln Burrows - Son Nika Volek - Daughter-in-law Biography Background Aldo Burrows was the father from Michael Scofield and Lincoln Burrows. He worked for the Company and did know Jack Mannix. Aldo left the Company and was living on his own. He did also met Tom Paxton who he befriended and he was a father-figure for him. Prison Break - The Conspiracy Aldo did met Brad Bellick and Tom Paxton at Fox River. Aldo said to Tom that he should steal his records so that Tom can safely escape Fox River. Tom was stealing with the help from Aldo to steal the records. Later when Tom did have the records, Bellick was coming. Tom was right on time to give the records to Aldo. Charles Westmoreland later revealed that it"
e0538812c86d,Brad Bellick (The Conspiracy),Prison Break,played by: Wade Williams (English) [http://www.youtube.com/watch?v=4SOX4F7PU40 Unknown voice actor] (Deutch) [http://www.youtube.com/watch?v=EfstDiM93pQ Unknown voice actor] (Spanish),"His duties were aiding in the transportation of death row inmates to the electric chair, supervising Fox River's prison industries program and overseeing all the inmates in general population.","You may be looking for his counterpart in the show. Brad Bellick is a character who appears in Prison Break - The Conspiracy (Game). Biography Background Captain Bellick passed the Correctional Officer Exam soon after he graduated high school and has been at Fox River Penitentiary ever since. In that time, he has slowly and steadily climbed up the C.O. ranks. His mother, Edna Bellick, had been living with him until he started his trip as a bounty hunter. He is also a recovering substance abuser. (1x16) Three years ago, despite several claims of inmate abuse, Bellick was promoted to the position of captain, the highest rank a prison C.O. can earn. His duties were aiding in the transportation of death row inmates to the electric chair, supervising Fox River's prison industries program and overseeing all the inmates in general population. Using his power, he arranged a deal with John Abruzzi, who was a mobster prior to his incarceration, that in exchange for monthly payments he would "
cc11fb458ea1,Henry Pope (The Conspiracy),Prison Break,played by: [http://www.youtube.com/watch?v=MxZvHoOh5Bo&feature=related Unknown voice actor] (English) [http://www.youtube.com/watch?v=IUuX5ibqKCM&feature=related Unknown voice actor] (Deutch),,"You may be looking for his counterpart in the show. Henry Pope is a character who appears in Prison Break - The Conspiracy (Game). Biography Background Prison Break - The Conspiracy Pope later met with Brad Bellick. Henry Pope said that Bellick did illegal fights at Fox River. Bellick said he didn't. Henry Pope then said they had to clean up the blood. Then he said that Moore and Williams should go clean up the blood. Henry Pope then said that Captain Bellick's report was harder then he thought and he needed Becky to write something for him. Henry Pope was talking with Bellick. Bellick said to Moore and Williams that they have to clean up the mess. Moore and Williams then were talking about how long it will take until the Pope discovers that Bellick is behind this. They then said two weeks. Pope then asked (over the phone) if Smith and Say Davis have seen Bellick, but they haven't seen him. Appearances Trivia In the game, Henry never wears a mustache. Category:Living characters Cat"
6e6b89041fc0,Charles Patoshik (The Conspiracy),Prison Break,played by: [http://www.youtube.com/watch?v=UvjT7X-bqyY&feature=related Unknown voice actor] (Deutch),,"You may be looking for his counterpart in the show. Charles ""Haywire"" Patoshik is a character who appears in Prison Break - The Conspiracy (Game). Biography Prison Break - The Conspiracy Patoshik was brought to Michael Scofield. He was watching his tattoos. Patoshik was later brought to the sick bay when he was poisoned by Tom Paxton, who was ironically enough at the same time at the sick bay as Patoshik. Appearances Chapter 3 Trivia In the game of Prison Break: The Conspiracy, Patosik doesn't escape from Fox River and wouldn't become on the Fox River Eight like in the show. However his role was replaced by Charles Westmoreland, the character who would actually die in the series and could never escape. Also his sketches were stolen by Tom Paxton, making him unaware how they were escaping. He did know about Michael's tattoo, but he didn't know where it all did lead too. His crimes weren't revealed in the game, but since the show isn't the same as the game, it can't be put here. Cat"
