char_id,name,franchise,infobox_fields,death_sentences,text_excerpt
2c5f977d9141,Beyda'amo,Avatar,species: Na'vi | gender: Male | portrayed: Emerson Brooks | first: ''James Cameron's Avatar: The Game'' | last: ''James Cameron's Avatar: The Game'',"If the player chooses to side with the RDA, they eventually battle and Ryder kills Beyda'amo in Willow Tree, crippling the Na'vi's leadership in the FEBA.","Beyda’amo is a powerful and respected Na'vi warrior whose grim persona and stern leadership have earned him a place of high regard within the Tipani clan. In addition to his formidable talents as a warrior and his uncompromising leadership skills, Beyda’amo is also a master banshee rider, unrivaled among the People for adeptness on his airborne mount. He wears the scars from wounds delivered by a Pandoran beast across his body like a badge of honor. Biography Beyda’amo has taken a hard line approach with humans. In the past however, he was quite open to human contact, even encouraging his mate, Marali, to attend the school and learn the language of the Sky People. Beyda’amo also received a book from René Harper written by the ancient Chinese general Sun Tzu. However, the so-called ""massacre"" changed everything. Although Marali survived the attack, Beyda’amo has publicly vowed never to trust the humans again. Beyda’amo's actions represent a long dormant ideology in the Na’vi culture; "
b3b2d03a2742,Tan Jala,Avatar,species: Na'vi | gender: Male | portrayed: André Sogliuzzo | first: ''James Cameron's Avatar: The Game'',"If the player chooses to side with the RDA, he or she eventually battles and kills Tan Jala, crippling the Na'vi's vital leadership in the local battlezone. If the player sides with the RDA he is killed in combat. The player can later rejoin the Na'vi and the ending cutscene shows him regardless of his death.","Tan Jala is a senior member of the Tipani clan. He is a master hunter known for his wise words and honest perspective. Biography Tan Jala was among the first to reach out to the ""Sky People,"" becoming the de facto tribal ambassador to the humans. He learned English from Dr. René Harper. Soon, the humans’ affronts to the land become impossible for Tan Jala to ignore or excuse. While he understood the frustration of warriors like Beyda'amo and he had been vocal in his anger towards the RDA strip mining, he knew there was still much to be gained by a peaceful bond with the Sky People, and had worked diligently towards it. Tan Jala believes in reaching out with an open hand to the humans rather than striking out with a fist. Peace and harmony are the way of the Na'vi. However, should conflict become unavoidable, Tan Jala is rumored to be one of the Tipani's most lethal and cunning warriors. Tan Jala wears the skin of a viperwolf. Avatar: The Game If the player decides to join the Na'vi, "
04624a1c73c7,Batista,Avatar,species: Human | gender: Male | portrayed: Bumper Robinson | first: ''James Cameron's Avatar: The Game'' | last: ''James Cameron's Avatar: The Game'',,"Batista is a character in :James Cameron's Avatar: The Game. Background Batista is one of the SecOps's top explosive specialists. If it goes BOOM, it probably has Batista's fingerprints on it. Nicknamed Boom Boom, Batista secured his reputation soon after arriving on Pandora when he was assigned to dislodge a floating rock from a planned transport route. Determined to make more of the task, Batista set his explosives to dislodge a large swath of floating rocks that drifted into a collage of mountains high above the roadway now known colloquially as Batista's Pass. He wears Titan Armor. Personality Of all the RDA SecOps characters, Batista seems to be the most lighthearted and upbeat of them all, as evidenced by his optimistic, gung-ho attitudes and tone when talking to Ryder. For example, when giving Ryder orders to kill Swawta, a Na'vi leader in the Plains of Goliath, Batista jokes, ""I need you to make Swawta go TATA!"" Also, upon killing Swawta and reporting this success back to Bat"
e07e5838dfce,Swawta,Avatar,species: Na'vi | gender: Male | portrayed: David Kaye | first: James Cameron's Avatar: The Game | last: James Cameron's Avatar: The Game,,"Swawta is a brave warrior of Vaderas Hollow. He rallies his fellow Na'vi when the RDA launches an offensive in his home territory. He is a member the Tipani clan. Biography He offers Able Ryder (in the RDA playthrough) a chance to join the Na'vi. If the player chooses to join the Na'vi, the game continues like the Na'vi playthrough, with a Dragon Assault Ship at the end as opposed to a great leonopteryx. If the player chooses to stay on with the RDA, he attacks the player. Gallery References James Cameron's Avatar: The Game de:Swawta pl:Swawta ru:Сваута Category:Avatar: The Game Characters Category:Na'vi Category:Tipani Members"
e40f24d41c1c,Unipey,Avatar,species: Na'vi | gender: Female | portrayed: Parisa Fakhri | first: ''James Cameron's Avatar: The Game'',,"Unipey is a warrior of the Tipani clan and its future Tsahìk. Biography Although she struggles under the guidance of her mentor Lungoray, he has managed to teach her the importance of her environment. Few Na'vi are as astute at identifying and avoiding the forest's dangers, and she does not hesitate to use her knowledge against her prey. Far too attached to the ways of the spear, Unipey will never become a great Tsahìk, but she is an intimidating foe. Avatar: The Game thumb|left|Ryder finds Unipey injured. When arriving at Swotulu, Able Ryder finds Unipey and many other Na'vi injured. Unipey does not trust Ryder but asks them to disable some bulldozers. She then tells Ryder to free the Na'vi prisoners from the RDA mining camp, claiming that Lungoray may be one of them. After freeing the prisoners and returning to Unipey, she thanks Ryder and mentions that she would be in Ryder's debt. She also notes that she learnt Ryder's language at the human school. Unipey wears the Nawma Taronyu"
891b751b5ddc,Jerome Epstein,Avatar,species: *Human *Avatar | gender: Male | portrayed: David Lodge | first: ''James Cameron's Avatar: The Game'',,"Dr. Jerome 'JJ' Epstein is a member of the Avatar Program and one of the 20 original avatar drivers. Biography Jerome was raised - as many Antarcticans are - with a deep appreciation of environmental preservation. His ecological calling came in the form of an intense lifelong study of the flora and fauna of the distant moon, Pandora. Since arriving as a xenobotanist in the Avatar Program five years ago, he has made great progress as one of the few avatars to find acceptance with the local Na'vi clan, the Tipani. Avatar: The Game Jerome first meets Able Ryder in the Blue Lagoon and requests Ryder collect him some samples of the chalice plant and scorpion thistle. Jerome soon defects with fellow avatars, Dr. René Harper and Dr. Anson Langley. If the player chose to side with the RDA, Ryder is later given an optional mission to kill Jerome due to his betrayal. If the player sides with the Na'vi, his fate is unknown. Quotes Gallery References James Cameron's Avatar: The Game - Ingam"
b16176a4db28,Anson Langley,Avatar,species: *Human *Avatar | gender: Male | portrayed: Wally Wingert | first: ''James Cameron's Avatar: The Game'',,"Dr. Anson Langley is a xenobotanist and one of the known 20 original avatar drivers. Background thumb|left|170px|Langley's avatar Raised in one of the largest and most crowded cities on Earth (London, England), Langley was happy to be accepted to the famous lunar University of Cassini at the sparsely populated southern pole of Earth's Moon. Here he excelled in the study of plant growth in lower gravity environments, making him an ideal candidate to study the plant life on the Pandoran moon. Arriving in 2146, Langley has proven to be a valuable asset in Na'vi-human interaction, earning the rare honor of joining the Na'vi on their hunting parties. Avatar: The Game Dr. Anson Langley defected with fellow avatar drivers Dr. René Harper and Dr. Jerome Epstein. The Tipani Clan sheltered him in their village Six Deep, and his link shack was moved there. If the player chose to side with the RDA, Able Ryder is given the assignment by Winslow to kill him. If the player sides with the Na'vi, h"
7eabbc182e0f,Winslow,Avatar,species: Human | gender: Male | portrayed: David Kaye | first: ''James Cameron's Avatar: The Game'',"Once Ryder has killed the two traitors and completed tasks given to him by Kendra Midori, Winslow then reports that he has managed to pinpoint the exact location of a life sign belonging to the traitor Dr. Winslow replies with a sentimental ""Always.""

If the player sides with the Na'vi, then Winslow is killed by Able Ryder.","Winslow is a tough and headstrong SecOps officer who has seen it all on Pandora. A headstrong merc, he won't put up with crap from anyone. He wears Militum Armor. Biography He is first seen in Avatar: The Game if the player sides with the RDA, rallying SecOps forces in Needle Hills against a massive attack from banshees. Winslow loans a Scorpion Gunship to Ryder so that he can rescue Kendra Midori and a wounded Samson pilot, as well as eliminate the nests that house the attacking banshees. Hanging Gardens He later appears in the Hanging Gardens, and sends Ryder off to reactivate a repulsor pod and meet Batista. Upon completion of those tasks and the tasks from Batista, Winslow then reports that he has detected life signs on RDA sensors matching those of the traitors Langley and Epstein, and sends Ryder to terminate both the scientists and their avatars. Once Ryder has killed the two traitors and completed tasks given to him by Kendra Midori, Winslow then reports that he has managed to"
77dc10a22ca9,Dalton,Avatar,species: Human | gender: Male | portrayed: Keith Ferguson | first: James Cameron's Avatar: The Game,"Ryder kills some viperwolves and finds Dalton cornered by two of the creatures, which they also kill.","Dalton is a new SecOps recruit to Pandora, and is just shy of his first year. While eager to succeed, he has had some difficulties adapting to the dangerous environment. He is deployed in the Blue Lagoon region and wears Viper Armor. Biography Able Ryder first meets Dalton when Kendra Midori informs them that Dalton is stuck in the wire has been ""spooked"" by something.Ryder heads out to save Dalton by Kendra's request, at one point coming across a destroyed buggy that could have been Dalton's. Ryder kills some viperwolves and finds Dalton cornered by two of the creatures, which they also kill. Dalton then says that he had been trying to set a signal to track Na'vi activity, but that he could not get it working. Ryder sets the signal for Dalton and he returns to base safely. Ryder was later asked by Kendra to go and assist Dalton again, as there had been a breach on the fence line. Ryder repaired two repulsor pods that had been deactivated to temporarily patch the fence and then retur"
5f079d2c145f,Fulson,Avatar,species: Human | gender: Female | portrayed: Tara Sands | first: ''James Cameron's Avatar: The Game'',She earned her first command when her Commanding Officer was killed by a pack of viperwolves while off-site on a solo trek.,"Commander Fulson is a Navy officer and the head of Camp Zulu in the Grave's Bog sector. Background She arrived on Pandora over five years ago and moved quickly through the ranks. She earned her first command when her Commanding Officer was killed by a pack of viperwolves while off-site on a solo trek. She stepped in as a leader, and very quickly showed improvements in the camp structure. She's never looked back since. Avatar: The Game During Able Ryder's deployment to Grave's Bog in his search for harmonic crystals and a willow tree, they encounter Commander Fulson in Camp Zulu after a raid on a Na'vi village; she is amused when she learns of Ryder's mission, saying ""What will the Corps (RDA) think of next"". Fulson orders Ryder to assist in the defense of Camp Zulu against a small herd of sturmbeest and a large force of Na'vi warriors. With Ryder's help, Fulson's SecOps troops are able to kill all of the attackers. However, Fulson tells Ryder that the base is detecting readings of a"
