page_url,franchise,is_dead_v2,split_random,split_grouped
https://james-camerons-avatar.fandom.com/wiki/Jake_Sully,Avatar,0,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Neytiri,Avatar,0,test,test
https://james-camerons-avatar.fandom.com/wiki/Grace_Augustine,Avatar,1,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Trudy_Chacón,Avatar,1,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Parker_Selfridge,Avatar,0,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Norm_Spellman,Avatar,0,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Mo'at,Avatar,0,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Miles_Quaritch,Avatar,1,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Max_Patel,Avatar,0,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Lyle_Wainfleet,Avatar,1,test,test
https://james-camerons-avatar.fandom.com/wiki/Tsu'tey,Avatar,1,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Akwey,Avatar,0,test,test
https://james-camerons-avatar.fandom.com/wiki/Kendra_Midori,Avatar,1,test,test
https://james-camerons-avatar.fandom.com/wiki/Karl_Falco,Avatar,1,test,test
https://james-camerons-avatar.fandom.com/wiki/René_Harper,Avatar,1,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Eytukan,Avatar,1,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Sean_Fike,Avatar,1,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Able_Ryder,Avatar,0,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Victor_Monroe,Avatar,1,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Sänume,Avatar,0,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Amanti,Avatar,0,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Tom_Sully,Avatar,1,test,test
https://james-camerons-avatar.fandom.com/wiki/Sylwanin,Avatar,1,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Hukato,Avatar,0,trainval,test
https://james-camerons-avatar.fandom.com/wiki/Ikeyni,Avatar,0,trainval,test
