franchise,content_rating,is_dead,gender,infobox_field_count,page_text_length,has_dob,has_family,has_image,has_alias,has_pronouns,appearance_count,franchise_release_year,franchise_decade,franchise_era,medium,genre,franchise_size,franchise_mortality_rate,franchise_female_ratio,franchise_weight,prominence_tier,is_human,affiliation_alignment,archetype,got_tv_seasons,got_book_count,got_pov_count,got_allegiances,got_titles_count,hp_house,hp_ancestry,hp_hogwarts_student,hp_hogwarts_staff,sw_film_count,sw_height,sw_mass,sw_birth_year,pdb_house,pdb_blood_status,pdb_species,pdb_nationality,pdb_animagus,pdb_patronus,pdb_titles_count,pdb_jobs_count,sw_species_detail,sw_affiliations_n,sw_has_masters,sw_has_apprentices,sw_has_cybernetics,actor_age_at_release,tvmaze_episode_count,tvmaze_found,tvmaze_is_main_cast,age_group,got_nobility,book1_appears,book2_appears,book3_appears,book4_appears,book5_appears,got_books_total,got_popularity,got_age,got_dead_relations,got_married,got_noble,got_screentime_min,got_episode_count_imdb,hero_alignment,hero_race,power_immortality,power_magic,power_resurrection,power_the_force,power_telepathy,power_mind_control,power_invulnerability,power_regeneration,power_flight,power_super_strength,lotr_race,lotr_realm,lotr_has_spouse,lotr_total_words,lotr_dialogue_words,hg_district,hg_is_tribute,hg_winner,hg_is_mentor,hg_profession,hg_age,hg_career,hg_rating,dune_house,dune_culture,marvel_identity,marvel_marital,marvel_has_teams,marvel_origin,marvel_universe,mcu_hero_villain,mcu_species,mcu_in_movie,mcu_in_tv,mcu_in_comic,sw_vehicles_count,sw_starships_count,sw_skin_color,sw_is_canon,sw_is_legend,sw_is_droid,sw_is_creature,fandom_category_count,fandom_is_stub,fandom_is_featured,fandom_is_recurring,species_category
Avatar,PG-13,0,Male,25,93711,1,0,1,1,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Lead,0.0,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,0,0,young_adult,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,nonhuman
Avatar,PG-13,0,Female,25,63684,1,0,1,1,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Lead,0.0,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,,0,0,young_adult,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,1,0,nonhuman
Avatar,PG-13,1,Female,23,83064,1,1,1,1,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Lead,1.0,,Medical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,unknown,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,human
Avatar,PG-13,1,Female,21,15008,1,0,1,1,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Lead,1.0,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,unknown,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,human
Avatar,PG-13,0,Male,17,20698,0,1,1,0,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Lead,1.0,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,0,0,young_adult,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,human
Avatar,PG-13,0,Male,22,25101,1,1,1,1,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Lead,1.0,,Medical,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,0,0,young_adult,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,human
Avatar,PG-13,0,Female,25,21021,1,0,1,1,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Lead,0.0,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,0,0,adult,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,nonhuman
Avatar,PG-13,1,Male,22,32400,1,0,1,1,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Lead,1.0,,Military,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,unknown,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,human
Avatar,PG-13,0,Male,17,7646,0,1,1,0,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Major,1.0,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,unknown,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,human
Avatar,PG-13,1,Male,19,11867,0,0,1,1,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Lead,1.0,,Military,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,unknown,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,human
Avatar,PG-13,1,Male,20,29119,0,1,1,1,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Lead,0.0,,Military,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,0,0,adult,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,nonhuman
Avatar,PG-13,0,Male,17,5880,0,1,1,0,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Major,0.0,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,0,0,adult,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,nonhuman
Avatar,PG-13,1,Female,14,2596,0,0,1,0,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Major,1.0,,Military,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,unknown,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,human
Avatar,PG-13,1,Male,15,4112,0,0,1,0,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Major,1.0,,Military,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,unknown,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,human
Avatar,PG-13,1,Male,14,4740,0,0,1,0,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Major,1.0,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,unknown,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,human
Avatar,PG-13,1,Male,23,17089,0,0,1,1,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Lead,0.0,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,0,0,senior,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,nonhuman
Avatar,PG-13,1,Male,18,2653,0,0,1,0,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Major,1.0,,Military,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,unknown,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,human
Avatar,PG-13,0,Other/Unknown,17,15848,0,0,1,1,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Lead,1.0,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,unknown,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,human
Avatar,PG-13,1,Male,15,1464,0,0,1,0,0,2,2009,2000s,2000s,Film,Sci-Fi,411,0.2992700729927007,0.3917274939172749,0.0024330900243309,Supporting,1.0,,Military,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,unknown,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,human
